,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Taven,Ante Up
6/25,Dirty Heads | honestav | Satsang 7PM,,,,,Pattie Gonia 8PM,,Geese | Airy Foist 7PM,,,,H2o | Time X Heist | Moral Law | Mindz Eye 7PM,,Luke Callen | The Lonely Choir | Nolen & Friends 7PM,Cory Henry & The Funk Apostles w/ Isaac Sinclair 7Pm,Taylor Scott Band ft. David Hidalgo & Steve Berlin of Los Lobos w/ Lucas Parker Band 7PM,"Chandler Kline w/ Crisco, Tasuuna, Syphyr, Rizzy Rails + Raiyne 7PM",Sunday Toni | Strangers | Pearl Jelly (Tribute Bands) 7PM,,,,,Partialist | AEthraxia | War Ends In Silence | Bleed The Vain 7PM,Tony Jupiter w/ Rangoo + Bruha 7PM,,,,,ALOK: Eat Pray Leave TOur,Sooflay | Exhaler | Doof God | Friends on the Hill 8PM,,,,,,Malkasian | Vandhali | Stone Deciple 6:30PM
6/26,Widespread Panic 7PM,,,,Denver Pride Playhaus Kick off Party w/ Honey Dijon | DJ Minx | Matt Sauve 6Pm,,Connor Price | Nic D 6:30PM,,,Jessica Baio | Britton 9PM,,Skald | Progmistress 7PM,Cure For Paranoia (NPR Tiny Desk) 7PM,Taken By Force w/ Dj Dellamorte 8PM,,House Party (A Sweaty Love-Letter to the 2010s rager) 9PM,Kat Goblin w/ 5 Foot Betty + Louise Lately 5PM,Parky Jobbins | The Angle | Sniff 7PM,,,Low Cut Connie | J Roddy & The Automatic Band | The Patti Fiasco 8PM,,Kelsey Karter & The Heroines | Frankie and the Studs 7:30pm,"Rayonnant w/ Hostile Effect, Damselfly + Kid Blonde 7PM",,,,Black & White Motion Picture | American Candy | Static Heads | Banned Books 7PM,Rene Vaca 2026 TOur,Bad Boy Bug | Q'Dells | Axe Bunny | Chaarm | GLITTERPORN | Virgin Delta 3PM,,Doses | Revital | Cyop | Sky 8PM,,The Bright Light Social Hour | Tarantual Bill 6PM,Temple of Asteria | Ground Above Zero | Dain Silva & The Mighty Potent Force 8PM,Seriously Kidding | Denver Dissent | Overwroughts 6:30PM
6/27,Widespread Panic 7PM,,AJR 5:30PM,Pabllo Vittar | Saucy Santana | Shermanology | Matt Sauve 2PM,,,Elderbrook | Tobiahs 8PM,,,Low Cut Connie | Queen Frog 8PM,,Cailin Russo | Neoma | Jake Fish 7PM,,Chroma Lips | Wave Decay | Various Blonde 8PM,,Monophonics | T Biscuit 7PM,Starlight and Pine | Sons Of Sorrow | Deva Yoder 4PM,Wim Tapley & The Cannons | Waxpool 7PM,,,Gaelic Storm | The House Wrens 8PM,,,Ghost In Stereo | Origami Summer | Blood Across The Sky | A Vintage Future | NVR ENDVR 7PM,,Jordan Burgett | Residing Elsewhere 8PM,House Of Funk 8PM,Sins of the Father | Atlas 31 | Lost Cause 7PM,The Kevin Langue SHow Live!,Dryer Fire | Crimson Riot | All Waffle Trick 8PM,Supper: Presented by The White Moms 9PM,,,J. Roddy Walston & the Automatic Band | Rugburn 6PM,Space Weather | Secret Gardens | Lionist | Edith 8PM,
6/28,Widespread Panic 7PM,,,,,,,,,,,Camping In Alaska | Glimpse | human ant farm | mypetspider 7PM,,,,Vincen Garcia 7PM,"The Past Year w/ Post/war, Cry Club Collective + The Lonely Mts 4PM",Marshall Thomas w/ Tiffany Brittin + Christopher Robin 4PM,,,,Hex Rated 6:30PM,,"Jambrick w/ Mus, 8 Ball + Wagner Sanchez Quintet 4PM",,,,,,,,,,,,
6/29,AJR | Arden Jones 6:30PM,,,,,,,,,,,,,,,,,,,,,,,Lady Denim | Over Under | Mystee 7PM,,Stetson Heat Seeker | Team Nonexistent | Chroma Lips 7:30PM,,,,Local 303 Meetup! w/ DylaNovus 6:30PM,,,,,,
6/30,AJR | The Happy Fits 6:30PM,,,,,Wolfmother | Love Gang 8PM,,,,,,NOVULENT | Babyteeth 7PM,,Ak'chamel w/ Munly & The Lupercalians 7PM,,,,,,,,,,,,Lucy Clearwater | Ella Luna | Nina De Frietas 7:30PM,,,Five for Fighting | Edwin McCain 7:30PM,Bong Wizard + Burning Sister + Hashtronaut 8PM,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18300 w alameda PkWy,6350 greenwood Plaza Blvd,95 spectrum lp,,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,2106 e platte Ave,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,,3295 s broadway,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5th-7th,Underground Pride,Soul Trick | Barry Osborne | Dreamiboi | Davey Boy | Standing Coffins | Lika Knife | Sierra Mae | Eli & The Hypotheticals | Chase Cavanaugh | The Backlash | Peach Bruise | Tarp | Rat Brew | Soy Celeste | [SALT] | Bae.Wav | Glitter Porn | Butterfly Kisses | Claruin | Mlady | Gone Full Heathen | Saridae | Occam's Rose | Pseudocrush | Blankslate | Watch Yourself Die | Trash Island Collective | DJ X IM X Not X Real X | DJ Echo Quon | DJ Dovethedemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chris Brown & USHER Empower field June 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ringo Starr Bellco Theatre June 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
