,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Tavern,Ante Up
7/21,The Colorado Symphony Performs the Music of Hans Zimmer & John Williams 7:30PM,,,,,,JINJER | Entheos 6PM,,,,,,Trace Amount | Lunacy | Insula Iscariot 7PM,,Kill Bill: The Rapper w/ Ashtin Larold 7PM,,,,,,,No Cure | Big Ass Truck | Bayway | Boltcutter | Disgustingest 6PM,,,,Corrosion of Conformity | Whores | Crobot 7:30PM,,,,,,,,,
7/22,The Strokes | Hamilton Leithauser | OLUM 7PM,Ella Mai | Ama | Girlfriend 7Pm,,,,Silverstein | Story of the Year | Origami Angel | Ally Nicholas 7PM,,,Kevian Kraemer | Jackson Marshall 8PM,,Wavves | Base Drum of Death | Worlds Worst 7PM,,,,,Tyler Halverson w/ Zandi Holup | Aubrey Dale 7PM,Charley Crockett 7PM,,,,,,"Biting Bullets w/ Definer, GNUMB, Mouth Ripped Open + Heart Museum 6PM",,,,,,,,,,,Seth Beamer | Patrick Armould | Kevin Johnston 8PM,Corpse Pile | Vomit Forth | Warmachine | Consanguinity | Gooey Cookie 6:30PM
7/23,The Strokes | Hamilton Leithauser | OLUM 7PM,,,,Kim Gordon | Sasami 8PM,,,,Sleepytime Gorilla Museum | Wendy Eisenberg | Glass Human 8PM,Joji | Nate Sib | Corbin 6PM,,Old 97's | River Shook 9PM,,,Stavroz w/ Peter Blick 8Pm,Zoska | ALIV | Sky | Zazzy 7PM,The Wilder Blue | Racyne Parker 7PM,moondoggy | Uncle Strut | The Speeks 8PM,,,,Shallowsky | Advents | Blood Across The Sky | Purified 6Pm,Mindless Vitality w/ Boys with Blue + Hopefully Soon 7PM,,Skoki | Baz Gillen | Birdhouse View 8Pm,,,,,,,A Place For Owls (blucifer's first ride) 7PM,,,
7/24,Cross Canadian Ragweed | The Smokin Oaks | Waves in April 6:30PM,,,,,,,Zeke Beats | Abelation 8PM,of Montreal | Sloppy Jane 8PM,,Yhapojj 8PM,Black Moth Super Rainbow | Giant Day 8PM,,"The Widdler w/ Thelem, Roommate, Aimerie – HSD Sound  8PM",LTG w/ Ben Collins 7PM,Enzo Is Burning 8PM,SRB w/ The Yeah Dawgs | Brimco | Quonsette 7PM,Junglefowl | Argentym | Jackson Cloud | Ok I love you 8PM,,moondoggy | Uncle Strut | Limited Supply 8PM,Dirt Monkey 8PM,,Get Out Mouse | Unindicted Co-Conspirators | Adrenalin | Lost Cause 7PM,Elias Medina en Concierto 8PM,,Edge Of Paradise | StarKill | Hel Hath Fury 6PM,Doom Slug | Low Key Genius | 3xcharm | Vampire Squids from Hell 7PM,,,White Bison | The Far Reaches | Wes Meyers 9PM,,World Peace | Chain Law | Pig Splitter | Dark Ming 7PM,,Beeler | Dain Silva and the Mighty Potent Force 9PM,
7/25,Darius Rucker | Old Crow Medicine Show | Austin Williams 7PM,Rainbow Kitten Surprise | Spacey Jane 8PM,,,,,,,Cracker | Johnny Hickman 8PM,Olivia Dean 7:30PM,,Jamestown Revival | Kolton Moore & The Clever Few 9PM,,"The Widdler w/ Athena, Trail, CurlyOnE – HSD Sound  8PM",Lelo | Groovepill 7PM,Lostboyjay | Vyblossom b2b Mick Jeets | Suite 8PM,Jon Stickley Trio | Sticks N' Thorns 7PM,Teenage Bottlerocket | The Drowns | Tightwire | Bury Mia 8PM,,,"Fighting the Phoenix, Talons, Scars Over Graves, Spirit in the Flesh, Drown The Skyline 6PM",,Thicker Skin | Hoodrat 7PM,,,Tributes to AC/DC & Mötley Crüe! w/ Live Wire | Kickstart my Heart 7PM,Anyone Awake | Capture This | Flow Wolf | Gabe Adams 7PM,,,,Kim Congdon | Dulce Mac (Comedy) 7&9PM,,,"An Hobbes w/ NME, 3Two, Luke Skyy + Zome 8PM",
7/26,SOMBR | King Princess 7PM,,,,,,,,,Olivia Dean 7:30PM,Vacation Manor | Nolen Durham 7PM,,,,,,Funk In The Name w/ The Buzz + Speak The Future 4Pm,,,,,,"Sonic Alchemy, Wiggle the Mouse+ Lyden Creek 4PM",,,,,,Dead & Friends 2PM,,,,,,
7/27,SOMBR | King Princess 7PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indecisive | Overwroughts | Kung Fu Juicebox 6Pm
7/28,Sarah McLachlan | Allison Russell 7:30PM,,,Suki Waterhouse | Charlotte Lawrence | EMMMA 6:30PM,,,,,ML Buch | Andrew Weathers 8PM,Megan Moroney | JP Saxe | Solon Holt 7PM,Slow Joy | Bike Routes | Glom 6:30PM,,,,,,,Uncle Lucius | Keyland | Red Revival 8PM,,,L.A. Guns | Dirty Kings | Deathride 7PM,,,,"Lazy World | Pastor Bob & The American Taliban | Leaf, Please | Pill Bugs 7:30PM",,,,,,,Sterosity | Melancholy Club | Viewfinder 7PM,,,
7/29,Parker McCollum | Gary Allan | Josh Abbott Band 7:30PM,Howard Jones | Wang Chung | The English Beat | Modern English | Richard Blade 6:30PM,,Poppy | LANDMVRKS | Thousand Below 6PM,,,The Strike | Kids That Fly 7PM,,,,,,,,,Chandol 7Pm,Out In Front 7PM,,,,Nik Parr & The Selfless Lovers 7PM,rAdolescents | Shit Drugs | My Girlfriends Dead 7PM,,,Austin TV 7PM,,,,,,,,,,
7/30,Killer Queen 8PM,,,Chiodos | sace6 | Second Harbour | 156/SIlence 6PM,,,,,,Benson Boone 8PM,System Of A Clown | Ninety Percent 90s | Pretty In Punk 7PM,,Joseph Huber | Poudre Valley Playboys 7PM,"SHIFT Ft. Buku, MZG Twins, Doses, digitalLovejoint 8PM","SHIFT Ft. BACKWHEN w/ Pop Tha Trunk, Lil Rocketman, M!NGO 8PM","DRB w/ pulsiv, Chvnny Mvy, Relay + HRTTKR 7PM",Dreamspace Database w/ Neon Nomad + Waterwheel 7PM,,,,MC Chris | Swell Rell 7PM,Pigeon Pit | Propolis 7PM,Sneezy | Jackson Cloud 7PM,,Dave Endlessly | Beeler | Brigitte Benson 7:30PM,,MILLINGTON | MATTSTAGRAHAM | ALL HYPE | Younger Than Neil 8PM,,Moonbeem | Native Space 8PM,,,,,,
