,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,The Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,Lion's Lair,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,The Black Box
5/28,Santana 7PM,,,,,,,SOB X RBE 7PM,,An Acoustic night with Michael Franti 8PM,,,,Tradition | A Place For Owls | Ratstallion | Moro 7PM,"SHIFT Ft. Actual Crane (Actualize & Glasscrane) w/ Papa Bear, l_a_i_a__, MInd Balloon 8PM",SHIFT Ft. Wax Future ft. Zone Drums | Trash 2 Back ft Zone Drums x Indobeats 8PM,Wiley | Yewz | Starsearch | Hound. | Pink Lemonade 7PM,The Cody Sisters | King Cardinal (Solo) | Bridgette Spinney 7PM,,"Sages & Spirits feat. Melvin Seals, John Kadlecik, Jay Lane, Rob Eaton, Skip Vangelas, Jake Wolf 8PM",Big Shrimp | Third Turn 8PM,Second Hand Serenade | Aaron Mars (of Copeland) 7PM,Colfax Speed Queen | Gestalt | Diva Cup 8PM,Sensamotion | Red Sage 7Pm,,,,,,Mish Mish and the Habibibeats 7:45PM,,,,,
5/29,MIchael Franti & Spearhead | The Original Wailers 7PM,,,,,,Said The Sky | Shallou | Zensei 9PM,Swamp Izzo 7PM,Dengue Fever | Bluebook 7PM,Neoni 9PM,,Secondhand Serenade | Aaron Marsh 7PM,Afroman | Davidsoldout | Affliction Music 8PM,,"Sages & Spirits ft. Melvin Seals, Rob Eaton, John Kadlecik, Jay Lane, Skip Vangelas, Jake Wolf 7PM",Eminence Ensemble | Big Shrimp | The Elegant Plums 7PM,Pseudocrush | The Disposable Icons | Toxic Authority 5PM,Tristan Trincado | Mor | Dylan Hurwich 7PM,,Ott. | Treecycle 8PM,,Sending SKyward | Scars Over Graves | The Mourning Shift 7PM,The Quakes | The Dead End | Royal Dead 7PM,The Regular | Summer Bedhead | Little Bessie | Sunset Odds 7PM,"All Star Tribute to Chad Aman! ft. members of: White Fudge, Alpha Schoolmarm Orchestra 7:30Pm",Diva Cup | Bandage | Aratik | Soneffs 7:30Pm,"Tributes to The B-52's, Madonna and Pat Benatar w/ Material Girl | Hey Lady! | Fire and Ice 7PM",Signs of Tranquility w/ Heir To Nothing + Siege Perilous + Divine Demise 6PM,,"Non-Profit, Mobile Studio Performance 7PM",Chew Thru / Messiahvore / MoonPussy 9PM,,Gestation | Aftermath | Cronos Compulsion | Human Suit 7PM,Between Friends | Fly By Midnight | Exhaler 6PM,
5/30,Alan Walker | Audien | Lonely CLub 6PM,,,,,SMOKEDOPE2016 | Ghostfacekush | Bartesian Water 7PM,HOL! | Mad Dubz b2b VKTM | Ivory | Warlord 8PM,,,Crimewave: A Goth Post-Punk & Darkwave Party 9PM,,,,Waxpool | Bad Knees | Sempar 8PM,"Sages & Spirits ft. Melvin Seals, Rob Eaton, John Kadlecik, Jay Lane, Skip Vangelas, Jake Wolf 7PM",Arts Fishing Club w/ Jewel House 7PM,Emma Spears w/ Tori Rose + Dan Radin 4PM,Saved by Aliens | Sid Williamson and the good faith | The Red Stare | Booty and the Beat 7PM,,,,Midnight Tyrannosaurus 8PM,,Jehovah’s Fitness Club w/ The Prismatics + Ace Landauer 7PM,"Tributes to Depeche Mode, Filter, and INXS! w/ Hey Man Nice Band, Mode for the Masses, and Devil INXSide 7Pm",Jack Campbell & THe Head Mess | Shady Oaks | Hollow Head 8Pm,Mr. Majestyk's 8-Track Revival 7PM,Rattlehead | The Walking Corpses | Vada & The Elliots | Karly's Basement 7PM,,Punk Rock Playdate w/ MF Ruckus | 5150 12PM  City Mouse | Black Dots | Cleats 8PM,,"KA$HDAMI, Katozai, yoon, Chris Cart3r, COLLUR 8PM",Dry Socket | Tolls | Athousandangelsandseven | Mouthful | Radar Love 7PM,,"Furtha w/ Snuggles, Flomatik, Eye Z, Dotson 9:00 PM"
5/31,CA7RIEL & PACO AMOROSO 7PM,,,,,,,,,KBong | Johnny Cosmic | Tatanka 8PM,,Natalie Nunn 7PM,,,Wooden Wisdom Ft. Elijah Wood & Zach Cowie 7PM,,Ryan Mecillas | Solar Flare Sunset | Gritch 4PM,Animals In Exile | Pale Sun | The Picture Tour | Owosso 4PM,,,,,Pet Traits | Discount Local | Cardboard Caravan | Charles Duma 2PM,Daisy The Great 7PM,,Ether.Net | Asoluna | Dave Devine 7PM,,,Andres Cepeda 7:30PM,,,,,,
,18300 w alameda PkWy,6350 greenwood Plaza Blvd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,95 spectrum lp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Morgan Wallen Empower Field May 29-30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wildermiss | Japanese Breakfast | Goth Babe | Death Cab For Cutie May 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brothers Of Bass | Karina Rykman | Eggy | Dawes | The Flaming Lips | My Morning Jacket May 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Mananas | N3ptune | Girl Tones | Grouplove | Tash Sultana | Cage The Elephant May  31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weekly Playlist 5/17-5/23,Mega Playlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weekly Playlist 5/31-6/6,,,,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,2106 e platte Ave,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,,3295 s broadway,,,,,,,
